Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,NO2
09/16/2023,48,Ozone,Paradise - Airport,06-007-0007,AQS,3,48,34,47,7
09/17/2023,44,Ozone,Paradise - Airport,06-007-0007,AQS,2,44,24,43,2
09/18/2023,47,Ozone,Paradise - Airport,06-007-0007,AQS,2,47,33,44,4
09/19/2023,45,Ozone,Paradise - Airport,06-007-0007,AQS,2,45,38,43,10
09/20/2023,74,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,58,53,74,9
09/21/2023,59,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,40,45,59,7
09/22/2023,69,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,50,62,69,14
09/23/2023,72,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,61,41,72,7
09/24/2023,63,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,61,35,63,3
09/25/2023,42,Ozone,Paradise - Airport,06-007-0007,AQS,2,42,29,23,2
09/26/2023,38,Ozone,Paradise - Airport,06-007-0007,AQS,2,38,10,22,7
09/27/2023,40,Ozone,Paradise - Airport,06-007-0007,AQS,2,40,19,31,
09/28/2023,39,Ozone,Paradise - Airport,06-007-0007,AQS,,39,33,28,
09/29/2023,38,Ozone,Paradise - Airport,06-007-0007,AQS,,38,31,25,12
09/30/2023,29,Ozone,Paradise - Airport,06-007-0007,AQS,,29,6,20,4
10/01/2023,32,Ozone,Paradise - Airport,06-007-0007,AQS,,32,8,25,11
10/02/2023,34,Ozone,Paradise - Airport,06-007-0007,AQS,,34,16,24,16
10/03/2023,40,Ozone,Paradise - Airport,06-007-0007,AQS,,40,13,33,11
10/04/2023,35,Ozone,Paradise - Airport,06-007-0007,AQS,2,35,12,33,10
10/05/2023,43,Ozone,Paradise - Airport,06-007-0007,AQS,5,43,20,29,14
10/06/2023,46,Ozone,Paradise - Airport,06-007-0007,AQS,3,46,31,32,18
10/07/2023,58,Ozone,Paradise - Airport,06-007-0007,AQS,3,58,19,43,8
10/08/2023,84,Ozone,Paradise - Airport,06-007-0007,AQS,3,84,24,54,10
10/09/2023,50,Ozone,Paradise - Airport,06-007-0007,AQS,2,50,27,33,5
10/10/2023,40,Ozone,Paradise - Airport,06-007-0007,AQS,2,40,13,15,3
10/11/2023,32,Ozone,Chico-East Avenue,06-007-0008,AQS,2,32,11,14,8
10/12/2023,35,Ozone,Paradise - Airport,06-007-0007,AQS,2,35,16,12,10
10/13/2023,48,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,47,44,48,12
10/14/2023,50,Ozone,Paradise - Airport,06-007-0007,AQS,3,50,25,48,10
10/15/2023,51,Ozone,Paradise - Airport,06-007-0007,AQS,3,51,26,48,12
10/16/2023,51,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,50,32,51,17
10/17/2023,48,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,36,23,48,14
10/18/2023,48,Ozone,Paradise - Airport,06-007-0007,AQS,5,48,34,46,12
10/19/2023,71,Ozone,Paradise - Airport,06-007-0007,AQS,5,71,40,70,20
10/20/2023,100,Ozone,Paradise - Airport,06-007-0007,AQS,6,100,45,71,18
10/21/2023,54,PM2.5,Paradise-Clark,06-007-2003,AQS,5,49,26,54,8
10/22/2023,35,Ozone,Paradise - Airport,06-007-0007,AQS,2,35,6,22,5
10/23/2023,33,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,33,9,33,8
10/24/2023,54,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,37,19,54,9
10/25/2023,43,PM2.5,Paradise-Clark,06-007-2003,AQS,2,31,12,43,8
10/26/2023,34,Ozone,Paradise - Airport,06-007-0007,AQS,3,34,9,32,17
10/27/2023,79,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,43,30,79,21
10/28/2023,64,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,40,22,64,16
10/29/2023,39,Ozone,Paradise - Airport,06-007-0007,AQS,5,39,11,38,17
10/30/2023,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,41,19,52,22
10/31/2023,65,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,41,21,65,22
11/01/2023,63,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,36,31,63,24
11/02/2023,64,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,31,29,64,13
11/03/2023,56,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,30,24,56,18
11/04/2023,53,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,45,21,53,8
11/05/2023,31,Ozone,Paradise-Clark,06-007-2003,AQS,2,31,6,23,3
11/06/2023,34,Ozone,Chico-East Avenue,06-007-0008,AQS,2,34,6,21,9
11/07/2023,35,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,34,4,35,9
11/08/2023,39,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,30,7,39,13
11/09/2023,61,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,31,20,61,23
11/10/2023,67,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,31,17,67,19
11/11/2023,86,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,31,30,86,16
11/12/2023,86,PM2.5,Chico-East Avenue,06-007-0008,AQS,11,40,28,86,19
11/13/2023,72,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,42,25,72,23
11/14/2023,90,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,41,23,90,18
11/15/2023,56,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,35,18,56,18
11/16/2023,53,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,34,12,53,14
11/17/2023,54,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,32,15,54,19
11/18/2023,33,Ozone,Paradise-Clark,06-007-2003,AQS,6,33,5,31,2
11/19/2023,37,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,36,2,37,8
11/20/2023,37,Ozone,Paradise-Clark,06-007-2003,AQS,5,37,7,33,16
11/21/2023,55,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,32,15,55,18
11/22/2023,74,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,9,27,22,74,18
11/23/2023,55,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,33,8,55,8
11/24/2023,55,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,33,11,55,19
11/25/2023,59,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,31,13,59,17
11/26/2023,71,PM2.5,Chico-East Avenue,06-007-0008,AQS,10,31,19,71,
11/27/2023,66,PM2.5,Chico-East Avenue,06-007-0008,AQS,11,30,23,66,
11/28/2023,71,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,29,23,71,25
11/29/2023,69,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,8,33,27,69,24
11/30/2023,72,PM2.5,Chico-East Avenue,06-007-0008,AQS,11,32,24,72,16
12/01/2023,58,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,29,15,58,16
12/02/2023,36,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,30,3,36,3
12/03/2023,39,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,33,6,39,10
12/04/2023,51,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,24,14,51,21
12/05/2023,60,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,22,20,60,19
12/06/2023,54,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,8,31,14,54,10
12/07/2023,31,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,31,6,31,10
12/08/2023,34,Ozone,Paradise-Clark,06-007-2003,AQS,5,34,,31,8
12/09/2023,61,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,34,,61,23
12/10/2023,96,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,9,25,,96,18
12/11/2023,86,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,9,25,,86,22
12/12/2023,67,PM2.5,Chico-East Avenue,06-007-0008,AQS,11,35,,67,24
12/13/2023,69,PM2.5,Chico-East Avenue,06-007-0008,AQS,10,34,,69,25
12/14/2023,73,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,11,28,,73,18
12/15/2023,77,PM2.5,Chico-East Avenue,06-007-0008,AQS,10,29,,77,18
12/16/2023,82,PM2.5,Chico-East Avenue,06-007-0008,AQS,15,31,28,82,21
12/17/2023,87,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,11,31,19,87,17
12/18/2023,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,31,6,52,9
12/19/2023,34,Ozone,Paradise-Clark,06-007-2003,AQS,2,34,3,24,3
12/20/2023,33,Ozone,Paradise-Clark,06-007-2003,AQS,3,33,6,19,17
12/21/2023,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,19,14,52,15
12/22/2023,43,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,27,10,43,9
12/23/2023,54,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,26,12,54,16
12/24/2023,66,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,22,16,66,14
12/25/2023,84,PM2.5,Chico-East Avenue,06-007-0008,AQS,13,18,27,84,13
12/26/2023,64,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,19,19,64,16
12/27/2023,63,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,37,14,63,10
12/28/2023,39,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,33,7,39,8
12/29/2023,42,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,38,6,42,7
12/30/2023,48,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,36,8,48,16
12/31/2023,55,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,23,11,55,9
01/01/2024,69,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,25,19,69,13
01/02/2024,54,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,9,34,10,54,12
01/03/2024,34,Ozone,Paradise-Clark,06-007-2003,AQS,5,34,6,33,17
01/04/2024,53,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,30,10,53,15
01/05/2024,57,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,29,13,57,13
01/06/2024,61,PM2.5,Chico-East Avenue,06-007-0008,AQS,9,27,14,61,13
01/07/2024,57,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,31,10,57,14
01/08/2024,63,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,31,16,63,23
01/09/2024,38,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,27,,38,8
01/10/2024,34,Ozone,Paradise-Clark,06-007-2003,AQS,3,34,,28,8
01/11/2024,31,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,31,,31,22
01/12/2024,37,PM2.5,Chico-East Avenue,06-007-0008,AirNow,8,30,,37,17
01/13/2024,33,Ozone,Paradise-Clark,06-007-2003,AQS,5,33,2,15,7
01/14/2024,34,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,29,6,34,8
01/15/2024,58,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,20,12,58,13
01/16/2024,54,PM2.5,Chico-East Avenue,06-007-0008,AQS,9,31,9,54,8
01/17/2024,29,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,29,4,29,8
01/18/2024,53,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,24,,53,13
01/19/2024,56,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,31,,56,12
